G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
20200721HTHH0,20200721,HH,HT,0,B,32,29,2,2,3,0,0,1,0,0,0,0,2,0,2,8,1,3,,,,
20200721HTHH0,20200721,HT,HH,0,T,50,41,9,10,16,2,0,2,0,1,0,0,8,0,0,7,2,0,,,,
20200721LGKT0,20200721,LG,KT,0,T,44,38,9,9,13,4,0,2,0,1,0,0,6,0,0,7,0,0,,,,
20200721LGKT0,20200721,KT,LG,0,B,39,34,10,10,12,0,0,3,1,0,1,0,4,0,0,7,0,1,,,,
20200721LTSK0,20200721,LT,SK,0,T,40,35,7,7,10,1,0,1,1,0,0,0,5,0,0,6,1,0,,,,
20200721LTSK0,20200721,SK,LT,0,B,40,34,8,8,13,1,0,3,2,0,0,1,4,0,0,4,0,0,,,,
20200721SSNC0,20200721,SS,NC,0,T,41,36,5,5,9,0,0,1,2,0,1,0,4,0,0,7,0,0,,,,
20200721SSNC0,20200721,NC,SS,0,B,42,38,6,6,13,2,0,3,0,2,0,0,1,0,1,7,0,0,,,,
20200721WOOB0,20200721,WO,OB,0,T,36,35,1,1,9,1,0,0,0,1,0,0,1,0,0,6,0,0,,,,
20200721WOOB0,20200721,OB,WO,0,B,32,31,6,6,7,2,1,1,2,0,0,0,1,0,0,9,0,0,,,,
20200722HTHH0,20200722,HH,HT,0,B,35,29,1,1,4,1,0,0,0,0,1,0,5,0,1,10,0,1,,,,
20200722HTHH0,20200722,HT,HH,0,T,37,30,2,2,5,0,1,0,0,0,2,0,3,0,0,14,0,0,,,,
20200722LGKT0,20200722,LG,KT,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200722LGKT0,20200722,KT,LG,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200722LTSK0,20200722,LT,SK,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200722LTSK0,20200722,SK,LT,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200722SSNC0,20200722,NC,SS,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200722SSNC0,20200722,SS,NC,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200722WOOB0,20200722,OB,WO,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200722WOOB0,20200722,WO,OB,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200723HTHH0,20200723,HH,HT,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200723HTHH0,20200723,HT,HH,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200723LGKT0,20200723,LG,KT,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200723LGKT0,20200723,KT,LG,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200723LTSK0,20200723,LT,SK,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200723LTSK0,20200723,SK,LT,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200723SSNC0,20200723,NC,SS,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200723SSNC0,20200723,SS,NC,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200723WOOB0,20200723,WO,OB,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200723WOOB0,20200723,OB,WO,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200724LGOB0,20200724,OB,LG,0,B,35,31,1,1,8,3,0,0,1,1,0,0,4,1,1,3,2,1,,,,
20200724LGOB0,20200724,LG,OB,0,T,46,40,8,8,15,2,1,2,1,0,0,0,4,0,0,4,1,0,,,,
20200724LTWO0,20200724,LT,WO,0,T,40,33,3,4,9,1,0,0,2,2,0,0,6,0,0,12,0,0,,,,
20200724LTWO0,20200724,WO,LT,0,B,34,31,2,2,6,2,0,1,1,0,0,1,2,0,0,8,0,0,,,,
20200724NCKT0,20200724,NC,KT,0,T,37,32,3,3,7,2,0,1,1,0,0,0,3,0,0,10,0,2,,,,
20200724NCKT0,20200724,KT,NC,0,B,39,33,1,2,6,1,0,1,2,1,0,0,6,0,0,11,0,0,,,,
20200724SKHH0,20200724,HH,SK,0,B,36,29,3,4,5,0,0,0,1,2,0,0,7,0,0,13,0,0,,,,
20200724SKHH0,20200724,SK,HH,0,T,40,34,7,7,8,1,0,3,1,0,0,1,5,0,0,11,0,0,,,,
20200724SSHT0,20200724,HT,SS,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200724SSHT0,20200724,SS,HT,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200725LGOB0,20200725,OB,LG,0,B,34,31,7,7,10,4,0,1,0,1,0,1,2,0,0,8,0,1,,,,
20200725LGOB0,20200725,LG,OB,0,T,36,35,2,3,10,3,0,0,0,0,0,0,1,0,0,6,0,0,,,,
20200725LTWO0,20200725,LT,WO,0,T,40,35,6,6,9,2,0,0,0,1,0,0,3,0,0,8,0,0,,,,
20200725LTWO0,20200725,WO,LT,0,B,36,27,3,3,3,1,0,0,0,0,0,1,6,0,3,11,1,1,,,,
20200725NCKT0,20200725,NC,KT,0,T,36,31,2,2,6,0,0,0,0,1,0,1,4,0,0,9,0,0,,,,
20200725NCKT0,20200725,KT,NC,0,B,33,29,6,6,8,4,0,1,0,1,0,0,4,0,0,3,2,0,,,,
20200725SKHH0,20200725,SK,HH,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200725SKHH0,20200725,HH,SK,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200725SSHT0,20200725,SS,HT,0,T,38,32,2,2,7,1,0,0,1,1,0,0,6,0,0,9,0,0,,,,
20200725SSHT0,20200725,HT,SS,0,B,37,31,8,8,11,2,0,0,0,0,2,1,2,1,0,10,0,0,,,,
20200726LGOB0,20200726,LG,OB,0,T,36,33,4,4,7,0,1,0,2,0,0,1,2,0,0,5,0,0,,,,
20200726LGOB0,20200726,OB,LG,0,B,40,32,3,3,8,2,0,1,0,0,1,0,5,1,1,8,1,2,,,,
20200726LTWO0,20200726,WO,LT,0,B,40,35,8,8,13,4,0,0,0,1,0,0,3,1,1,4,1,1,,,,
20200726LTWO0,20200726,LT,WO,0,T,37,34,1,1,8,3,0,0,1,0,0,0,3,0,0,5,0,0,,,,
20200726NCKT0,20200726,KT,NC,0,B,36,34,5,5,8,0,0,3,2,0,0,0,2,0,0,7,0,0,,,,
20200726NCKT0,20200726,NC,KT,0,T,34,32,4,4,7,1,0,2,1,0,0,1,1,0,0,8,0,1,,,,
20200726SKHH0,20200726,HH,SK,0,B,38,34,4,4,8,2,0,1,0,0,0,0,4,0,2,5,0,0,,,,
20200726SKHH0,20200726,SK,HH,0,T,42,35,7,7,10,2,0,0,1,0,0,0,5,0,0,8,1,0,,,,
20200726SSHT0,20200726,SS,HT,0,T,43,36,5,5,12,4,0,1,1,0,1,1,4,0,0,5,0,1,,,,
20200726SSHT0,20200726,HT,SS,0,B,41,37,6,8,12,2,1,0,0,0,0,0,3,0,1,4,0,0,,,,
20200727SKHH0,20200727,HH,SK,0,B,35,29,5,5,5,3,0,0,1,0,0,0,5,0,1,5,1,0,,,,
20200727SKHH0,20200727,SK,HH,0,T,37,32,5,5,10,3,0,1,1,0,0,0,3,0,0,5,1,1,,,,
20200728HHSS0,20200728,HH,SS,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200728HHSS0,20200728,SS,HH,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200728KTHT0,20200728,KT,HT,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200728KTHT0,20200728,HT,KT,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200728LGSK0,20200728,LG,SK,0,T,58,49,23,24,23,3,1,6,0,0,0,0,6,0,0,10,1,0,,,,
20200728LGSK0,20200728,SK,LG,0,B,41,34,7,7,8,3,0,2,0,0,0,0,5,1,4,6,0,0,,,,
20200728NCLT0,20200728,LT,NC,0,B,46,36,11,11,14,3,0,2,0,0,0,1,7,1,0,7,0,1,,,,
20200728NCLT0,20200728,NC,LT,0,T,46,42,8,9,17,3,0,2,2,0,0,0,4,0,0,6,0,0,,,,
20200728WOOB0,20200728,WO,OB,0,T,43,34,5,6,8,2,0,1,0,0,1,1,4,0,0,4,0,0,,,,
20200728WOOB0,20200728,OB,WO,0,B,38,36,2,2,9,2,0,1,0,0,0,0,2,1,2,6,0,1,,,,
20200729HHSS0,20200729,HH,SS,0,T,49,44,8,12,18,1,0,1,0,0,0,1,2,0,0,7,1,0,,,,
20200729HHSS0,20200729,SS,HH,0,B,44,34,7,7,9,1,0,2,1,1,0,0,8,0,3,7,1,3,,,,
20200729KTHT0,20200729,HT,KT,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200729KTHT0,20200729,KT,HT,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200729LGSK0,20200729,LG,SK,0,T,45,36,11,11,13,0,0,3,1,0,0,0,8,0,0,5,0,0,,,,
20200729LGSK0,20200729,SK,LG,0,B,44,40,6,6,14,1,0,4,2,0,0,0,3,0,2,7,0,0,,,,
20200729NCLT0,20200729,NC,LT,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200729NCLT0,20200729,LT,NC,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200729WOOB0,20200729,OB,WO,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200729WOOB0,20200729,WO,OB,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200730HHSS0,20200730,SS,HH,0,B,46,36,1,2,6,2,0,0,3,0,0,0,4,0,2,12,0,0,,,,
20200730HHSS0,20200730,HH,SS,0,T,43,37,1,1,3,0,0,0,0,0,0,0,3,0,0,12,0,0,,,,
20200730KTHT0,20200730,KT,HT,0,T,38,31,4,4,11,2,0,0,1,3,2,0,3,0,0,8,0,1,,,,
20200730KTHT0,20200730,HT,KT,0,B,36,33,1,1,8,3,0,0,0,0,1,0,1,0,3,6,0,0,,,,
20200730LGSK0,20200730,LG,SK,0,T,45,39,9,9,13,3,0,1,1,0,0,0,5,0,0,8,0,0,,,,
20200730LGSK0,20200730,SK,LG,0,B,34,30,1,1,4,3,0,0,0,0,0,0,3,0,2,6,0,0,,,,
20200730NCLT0,20200730,LT,NC,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200730NCLT0,20200730,NC,LT,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200730WOOB0,20200730,WO,OB,0,T,39,34,8,8,13,2,0,1,2,0,0,0,3,0,0,8,0,0,,,,
20200730WOOB0,20200730,OB,WO,0,B,41,36,5,5,10,0,0,2,2,0,1,0,3,0,2,2,0,0,,,,
20200731HHLG0,20200731,LG,HH,0,B,31,29,1,1,4,2,0,0,0,1,0,0,2,0,0,4,0,0,,,,
20200731HHLG0,20200731,HH,LG,0,T,37,34,2,2,10,1,0,0,0,1,0,1,2,0,0,9,0,0,,,,
20200731HTLT0,20200731,HT,LT,0,T,38,34,2,3,8,1,0,0,0,0,0,0,4,0,0,5,1,2,,,,
20200731HTLT0,20200731,LT,HT,0,B,36,33,1,2,6,2,0,0,0,0,0,0,3,0,0,10,2,1,,,,
20200731OBNC0,20200731,OB,NC,0,T,44,39,7,7,14,2,0,1,2,0,1,0,4,0,0,7,1,0,,,,
20200731OBNC0,20200731,NC,OB,0,B,42,37,10,10,14,4,0,1,2,0,0,0,2,0,2,8,1,1,,,,
20200731SKKT0,20200731,KT,SK,0,B,42,39,11,11,16,3,0,4,0,1,0,0,3,0,0,5,0,1,,,,
20200731SKKT0,20200731,SK,KT,0,T,36,31,1,1,4,0,0,1,0,0,0,0,5,0,0,8,1,0,,,,
20200731WOSS0,20200731,SS,WO,0,B,40,35,3,3,8,1,0,0,0,1,0,0,2,1,2,7,0,1,,,,
20200731WOSS0,20200731,WO,SS,0,T,42,36,9,10,10,2,0,3,1,0,0,0,6,0,0,5,0,0,,,,
20200801HHLG0,20200801,HH,LG,0,T,40,34,6,6,8,2,0,1,1,0,0,0,5,0,0,7,0,2,,,,
20200801HHLG0,20200801,LG,HH,0,B,41,39,9,9,15,3,0,0,0,0,0,0,1,0,1,8,0,0,,,,
20200801HTLT0,20200801,HT,LT,0,T,36,34,3,3,9,2,0,1,0,0,0,0,2,0,0,3,1,3,,,,
20200801HTLT0,20200801,LT,HT,0,B,37,31,6,7,10,3,0,2,0,1,0,1,5,0,0,9,2,0,,,,
20200801OBNC0,20200801,NC,OB,0,B,52,45,10,10,15,4,0,2,2,0,0,0,5,1,0,9,0,1,,,,
20200801OBNC0,20200801,OB,NC,0,T,51,45,12,12,17,1,1,0,2,0,0,0,2,0,0,8,0,1,,,,
20200801SKKT0,20200801,SK,KT,0,T,34,32,0,0,6,1,0,0,0,0,0,0,2,0,0,2,1,1,,,,
20200801SKKT0,20200801,KT,SK,0,B,41,36,10,11,13,1,1,3,0,0,0,0,5,0,0,5,2,0,,,,
20200801WOSS0,20200801,WO,SS,0,T,62,48,21,22,23,7,0,1,1,0,1,1,10,0,0,8,0,1,,,,
20200801WOSS0,20200801,SS,WO,0,B,40,34,7,7,8,4,0,0,0,1,0,0,4,0,3,6,0,1,,,,
20200802HHLG0,20200802,HH,LG,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200802HHLG0,20200802,LG,HH,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200802HTLT0,20200802,LT,HT,0,B,39,34,8,8,11,4,0,0,0,0,1,0,4,0,0,10,0,0,,,,
20200802HTLT0,20200802,HT,LT,0,T,32,30,0,0,4,2,0,0,0,0,0,0,2,0,0,6,0,2,,,,
20200802OBNC0,20200802,OB,NC,0,T,51,48,7,7,15,4,0,0,0,1,0,0,2,0,0,10,1,0,,,,
20200802OBNC0,20200802,NC,OB,0,B,47,42,4,4,8,0,0,2,0,0,0,0,2,0,0,8,0,0,,,,
20200802SKKT0,20200802,SK,KT,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200802SKKT0,20200802,KT,SK,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200802WOSS0,20200802,WO,SS,0,T,41,38,4,4,10,1,0,0,0,0,0,1,0,0,0,8,1,1,,,,
20200802WOSS0,20200802,SS,WO,0,B,41,39,2,2,10,1,0,1,1,0,0,0,2,1,0,4,0,1,,,,
20200803HHLG0,20200803,LG,HH,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200803HHLG0,20200803,HH,LG,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200803SKKT0,20200803,KT,SK,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200803SKKT0,20200803,SK,KT,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200804KTWO0,20200804,KT,WO,0,T,38,32,3,4,11,1,0,0,1,1,1,0,4,0,0,7,0,0,,,,
20200804KTWO0,20200804,WO,KT,0,B,38,34,2,2,10,0,0,1,0,0,0,0,3,0,0,9,0,1,,,,
20200804LGHT0,20200804,LG,HT,0,T,47,41,15,15,16,1,2,3,0,0,0,0,5,0,0,10,0,1,,,,
20200804LGHT0,20200804,HT,LG,0,B,40,36,5,5,8,1,0,1,0,0,0,0,4,0,1,9,0,0,,,,
20200804LTSK0,20200804,LT,SK,0,T,46,41,8,8,15,3,0,1,0,0,0,0,4,0,0,6,0,0,,,,
20200804LTSK0,20200804,SK,LT,0,B,33,31,0,0,6,1,0,0,0,0,0,0,2,0,1,2,0,0,,,,
20200804NCHH0,20200804,NC,HH,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200804NCHH0,20200804,HH,NC,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200804SSOB0,20200804,SS,OB,0,T,41,34,5,6,7,2,0,1,1,0,0,0,5,0,0,4,0,1,,,,
20200804SSOB0,20200804,OB,SS,0,B,37,36,3,3,9,1,0,1,0,0,0,0,1,1,1,10,0,0,,,,
20200805KTWO0,20200805,KT,WO,0,T,36,34,3,3,10,1,0,1,0,2,0,0,1,0,0,7,0,2,,,,
20200805KTWO0,20200805,WO,KT,0,B,46,40,12,12,15,2,0,1,0,0,0,0,5,0,2,3,0,2,,,,
20200805LGHT0,20200805,LG,HT,0,T,41,35,6,6,11,3,0,2,0,1,1,0,5,0,0,11,2,0,,,,
20200805LGHT0,20200805,HT,LG,0,B,38,35,4,4,9,1,0,0,1,0,1,0,2,0,0,10,0,0,,,,
20200805LTSK0,20200805,LT,SK,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200805LTSK0,20200805,SK,LT,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
20200805NCHH0,20200805,HH,NC,0,B,43,33,6,8,12,2,0,1,0,0,1,2,5,1,4,4,1,0,,,,
20200805NCHH0,20200805,NC,HH,0,T,43,30,5,5,6,0,1,0,0,0,0,1,8,0,0,5,0,1,,,,
20200805SSOB0,20200805,SS,OB,0,T,40,34,2,2,12,2,0,0,1,1,1,0,2,0,0,4,0,1,,,,
20200805SSOB0,20200805,OB,SS,0,B,32,28,2,2,4,0,0,0,1,1,0,0,3,2,1,4,0,1,,,,
20200806KTWO0,20200806,KT,WO,0,T,34,32,2,2,4,1,0,1,1,0,0,0,2,0,0,4,0,0,,,,
20200806KTWO0,20200806,WO,KT,0,B,35,28,3,3,7,2,0,1,1,0,0,1,4,1,0,9,0,1,,,,
20200806LGHT0,20200806,HT,LG,0,B,42,35,13,13,12,3,0,4,0,0,0,0,6,0,1,7,1,0,,,,
20200806LGHT0,20200806,LG,HT,0,T,30,28,1,1,4,0,0,0,0,0,0,1,1,0,0,8,0,0,,,,
20200806LTSK0,20200806,SK,LT,0,B,35,33,2,2,8,1,0,1,0,0,0,1,1,0,1,6,1,1,,,,
20200806LTSK0,20200806,LT,SK,0,T,39,33,8,8,6,0,0,2,0,0,0,0,4,0,0,8,0,0,,,,
20200806NCHH0,20200806,NC,HH,0,T,39,32,4,4,8,1,0,2,0,2,0,0,7,0,0,6,0,0,,,,
20200806NCHH0,20200806,HH,NC,0,B,34,29,1,1,5,0,0,0,0,1,1,0,4,0,0,4,1,0,,,,
20200806SSOB0,20200806,OB,SS,0,B,36,31,5,5,7,1,1,0,0,0,0,0,4,0,0,7,0,0,,,,
20200806SSOB0,20200806,SS,OB,0,T,40,38,2,2,11,0,0,0,3,0,0,0,2,0,0,7,0,1,,,,
20200807KTHH0,20200807,KT,HH,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
